Organization,category_list, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
life360,|Apps|iPhone|Android|Mobile Emergency&Health|Gps|Tracking|Security|Mobile|, Tracking ," 7,61,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,8,1/1/2008,2008-01,2008-Q1,2008,9/4/2008,5/15/2014,50000,72500000,0,0,0,2250000,1000000,300000,0,0,0,0,0,5500000,17000000,50000000,0,0,0,0,0
sproutshout,|Curated Web|, Curated Web ," 2,17,500 ",operating,USA,MA,Boston,Boston,1,6/1/2010,2010-06,2010-Q2,2010,1/3/2013,1/3/2013,0,0,0,0,0,0,217500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifebio,|Consumer Internet|Health Care|Senior Health|, Consumer Internet ,"80,000",operating,USA,OH,"Columbus, Ohio",Marysville,1,1/1/2006,2006-01,2006-Q1,2006,1/1/2012,1/1/2012,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifebooker-com,|Advertising|, Advertising ," 65,00,000 ",operating,USA,NY,New York City,Brooklyn,1,9/2/2007,2007-09,2007-Q3,2007,5/6/2011,5/6/2011,0,6500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifecrowd,|Social Media|, Social Media ," 50,00,000 ",operating,USA,CA,Los Angeles,Santa Monica,2,1/1/2011,2011-01,2011-Q1,2011,4/19/2012,4/26/2012,0,5000000,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0
lifedox,|Health and Wellness|, Health and Wellness ," 6,25,000 ",operating,USA,MD,MD - Other,Sandy Spring,1,1/1/2010,2010-01,2010-Q1,2010,5/7/2012,5/7/2012,0,0,0,0,0,625000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifeguard-games,|Health Care|Gamification|Games|Mobile|, Health Care ,"62,500",operating,USA,MA,Boston,Boston,2,9/1/2012,2012-09,2012-Q3,2012,4/1/2013,3/7/2014,7500,0,0,0,0,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifeimage,|Health Care|, Health Care ," 6,50,77,994 ",operating,USA,MA,Boston,Newton,7,1/1/2008,2008-01,2008-Q1,2008,6/4/2009,6/5/2013,0,64127090,0,0,0,950904,0,0,0,0,0,0,0,2500000,13995000,35632090,0,0,0,0,0
lifeio,|Curated Web|, Curated Web ," 5,00,000 ",operating,USA,NY,New York City,New York,1,8/29/2006,2006-08,2006-Q3,2006,8/29/2008,8/29/2008,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifeloc-technologies,|Enterprise Software|, Enterprise Software ," 2,50,000 ",operating,USA,CO,Denver,Wheat Ridge,1,12/31/1983,1983-12,1983-Q4,1983,9/18/2014,9/18/2014,0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0
lifelock,|Technology|Security|, Technology ," 17,78,50,000 ",operating,USA,AZ,Phoenix,Tempe,5,8/1/2005,2005-08,2005-Q3,2005,10/1/2006,3/14/2012,0,77850000,0,0,0,0,0,0,100000000,0,0,0,0,6000000,6850000,25000000,40000000,0,0,0,0
lifemap-solutions-inc,|Big Data|Health and Wellness|Health Care|, Big Data ," 50,00,000 ",operating,USA,CA,SF Bay Area,Alameda,1,1/1/2014,2014-01,2014-Q1,2014,5/8/2014,5/8/2014,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifenexus,|Hardware + Software|, Hardware + Software ," 2,51,26,750 ",operating,USA,CA,SF Bay Area,San Francisco,9,1/1/2005,2005-01,2005-Q1,2005,4/15/2010,7/22/2014,0,25126750,0,0,0,0,0,0,0,0,0,0,0,12700000,0,0,0,0,0,0,0
lifeonkey,|Enterprise Software|, Enterprise Software ," 1,00,00,000 ",operating,USA,NY,New York City,New York,1,1/1/2003,2003-01,2003-Q1,2003,12/1/2007,12/1/2007,0,10000000,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,0,0,0,0,0
lifepics,|Printing|Photography|E-Commerce|, Photography ," 19,80,000 ",operating,USA,CO,Denver,Boulder,1,9/1/2000,2000-09,2000-Q3,2000,8/17/2009,8/17/2009,0,1980000,0,0,0,0,0,0,0,0,0,0,0,0,0,1980000,0,0,0,0,0
lifeproof,|Mobile|, Mobile ," 27,64,700 ",acquired,USA,CA,San Diego,San Diego,2,1/1/2010,2010-01,2010-Q1,2010,3/4/2011,7/7/2011,0,2764700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifeshare-technologies,|Biotechnology|, Biotechnology ," 6,25,000 ",operating,USA,IN,Indianapolis,Shelbyville,1,1/1/2009,2009-01,2009-Q1,2009,2/19/2013,2/19/2013,0,0,0,0,0,625000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifeshield-security,|Security|, Security ," 1,90,00,000 ",acquired,USA,PA,Philadelphia,Yardley,2,1/1/2004,2004-01,2004-Q1,2004,6/16/2010,7/20/2011,0,19000000,0,0,0,0,0,0,0,0,0,0,0,0,11000000,0,0,0,0,0,0
lifesize-communications,|Software|, Software ," 4,25,00,000 ",acquired,USA,TX,Austin,Austin,2,1/1/2003,2003-01,2003-Q1,2003,12/19/2005,9/18/2006,0,42500000,0,0,0,0,0,0,0,0,0,0,0,0,0,17500000,25000000,0,0,0,0
lifestander,|Photography|Networking|Software|Social Network Media|Curated Web|, Social Network Media ,"31,000",closed,USA,NY,New York City,New York,1,9/1/2010,2010-09,2010-Q3,2010,10/2/2010,10/2/2010,31000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifetone-technology,|Software|, Software ," 14,12,300 ",operating,USA,OK,Oklahoma City,Oklahoma City,2,1/1/2004,2004-01,2004-Q1,2004,7/30/2010,10/16/2013,0,0,0,0,0,1412300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifevantage,|Manufacturing|, Manufacturing ," 76,34,143 ",operating,USA,UT,Salt Lake City,Sandy,3,1/1/2003,2003-01,2003-Q1,2003,4/15/2009,2/10/2010,0,5000000,0,0,0,2634143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifewave,|Biotechnology|, Biotechnology ," 6,18,178 ",operating,USA,CA,SF Bay Area,Los Altos,1,1/1/2000,2000-01,2000-Q1,2000,12/31/2013,12/31/2013,0,618178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lift-ux,|Design|Blogging Platforms|Consumer Electronics|Public Relations|, Consumer Electronics ," 25,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,9/22/2009,2009-09,2009-Q3,2009,11/27/2012,11/27/2012,0,2500000,0,0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,0,0
lift-worldwide,|Software|Quantified Self|Productivity Software|Health and Wellness|Curated Web|, Productivity Software ," 25,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,8/22/2011,2011-08,2011-Q3,2011,8/22/2011,11/28/2012,0,2500000,0,0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,0,0
liftdna,|Advertising|, Advertising ," 10,00,000 ",acquired,USA,NY,New York City,New York,2,9/1/2009,2009-09,2009-Q3,2009,2/1/2011,2/11/2011,0,0,0,0,0,400000,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liftmetrix,|Social Media Marketing|Analytics|Social Media|, Analytics ," 27,50,000 ",operating,USA,NY,New York City,New York,1,9/1/2013,2013-09,2013-Q3,2013,5/30/2014,5/30/2014,2750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifx,|Clean Technology|, Clean Technology ," 1,33,20,000 ",operating,USA,CA,SF Bay Area,San Francisco,3,1/1/2012,2012-01,2012-Q1,2012,9/1/2012,6/23/2014,20000,12000000,0,0,0,0,0,0,0,0,0,0,1300000,12000000,0,0,0,0,0,0,0
ligand-pharmaceuticals,|Biotechnology|, Biotechnology ," 22,50,00,000 ",operating,USA,CA,San Diego,San Diego,1,1/1/1987,1987-01,1987-Q1,1987,8/14/2014,8/14/2014,0,0,0,0,0,0,0,0,0,225000000,0,0,0,0,0,0,0,0,0,0,0
ligandal-technology,|Biotechnology|Nanotechnology|, Nanotechnology ,"64,000",operating,USA,CA,SF Bay Area,Oakland,1,1/1/2013,2013-01,2013-Q1,2013,1/14/2010,1/14/2010,0,0,0,0,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
light-harmonic,|Hardware|Audio|Crowdfunding|Hardware + Software|, Hardware ," 16,67,141 ",operating,USA,CA,Sacramento,Sacramento,3,11/11/2010,2010-11,2010-Q4,2010,9/12/2013,5/27/2014,0,0,0,0,0,0,0,0,0,0,0,0,1667141,0,0,0,0,0,0,0,0
light-sciences-oncology,|Health Care|Health and Wellness|Biotechnology|, Health Care ," 13,98,61,674 ",operating,USA,WA,Seattle,Bellevue,6,1/1/1994,1994-01,1994-Q1,1994,12/14/2005,12/23/2013,0,133605674,0,0,0,6256000,0,0,0,0,0,0,0,67000000,30000000,0,0,0,0,0,0
lightarrow,|Mobile|, Mobile ," 17,00,000 ",operating,USA,TX,Austin,Austin,3,1/1/2010,2010-01,2010-Q1,2010,3/24/2010,3/22/2013,200000,0,0,0,0,0,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighting-retrofit-international,|Clean Technology|, Clean Technology ," 49,99,929 ",operating,USA,MD,Baltimore,Gambrills,1,1/1/2009,2009-01,2009-Q1,2009,11/30/2009,11/30/2009,0,4999929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighting-science-group,|Clean Technology|, Clean Technology ," 27,71,16,726 ",operating,USA,FL,Florida's Space Coast,Satellite Beach,7,1/1/2004,2004-01,2004-Q1,2004,5/5/2010,11/19/2014,0,38116726,0,0,0,0,0,0,0,186000000,53000000,0,0,0,0,0,0,0,0,0,0
lightning-gaming,|Games|, Games ," 40,00,000 ",operating,USA,PA,PA - Other,Marcus Hook,1,1/1/2004,2004-01,2004-Q1,2004,6/5/2008,6/5/2008,0,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightpath-apps,|Insurance|Career Planning|Curated Web|, Career Planning ," 1,50,000 ",operating,USA,DC,"Washington, D.C.",Washington,1,9/1/2011,2011-09,2011-Q3,2011,1/1/2013,1/1/2013,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightsail-education,|Education|, Education ," 86,92,266 ",operating,USA,NY,New York City,New York,1,5/1/2012,2012-05,2012-Q2,2012,10/30/2014,10/30/2014,0,8692266,0,0,0,0,0,0,0,0,0,0,0,8692266,0,0,0,0,0,0,0
lightscape-materials,|Manufacturing|, Manufacturing ," 40,40,828 ",operating,USA,NJ,Newark,Princeton,1,1/1/2009,2009-01,2009-Q1,2009,4/13/2009,4/13/2009,0,4040828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightside-labs,|Software|, Software ," 1,95,000 ",operating,USA,PA,Pittsburgh,Pittsburgh,1,1/1/2013,2013-01,2013-Q1,2013,3/9/2014,3/9/2014,0,0,0,0,0,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightspeed-genomics,|Biotechnology|, Biotechnology ," 50,82,474 ",operating,USA,CA,SF Bay Area,Santa Clara,1,1/1/2006,2006-01,2006-Q1,2006,9/19/2012,9/19/2012,0,5082474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightspeed-technologies-inc,|Design|, Design ," 4,30,000 ",operating,USA,OR,"Portland, Oregon",Tualatin,1,1/1/1990,1990-01,1990-Q1,1990,10/29/2009,10/29/2009,0,0,0,0,0,430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightsquared,|Mobile|, Mobile ," 26,50,00,000 ",operating,USA,VA,"Washington, D.C.",Reston,1,1/1/2010,2010-01,2010-Q1,2010,7/5/2011,7/5/2011,0,0,0,0,0,0,0,0,265000000,0,0,0,0,0,0,0,0,0,0,0,0
lightwave-power,|Finance|, Finance ," 1,30,00,000 ",operating,USA,ME,ME - Other,Cambridge,1,1/1/2008,2008-01,2008-Q1,2008,12/12/2008,12/12/2008,0,13000000,0,0,0,0,0,0,0,0,0,0,0,13000000,0,0,0,0,0,0,0
lightwaves,|Hardware + Software|, Hardware + Software ," 15,00,000 ",operating,USA,IA,Cedar Rapids,Cedar Rapids,1,1/1/2002,2002-01,2002-Q1,2002,10/15/2009,10/15/2009,0,0,0,0,0,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightyear-network-solutions,|Manufacturing|, Manufacturing ," 15,23,100 ",operating,USA,KY,Louisville,Louisville,1,1/1/1993,1993-01,1993-Q1,1993,7/8/2010,7/8/2010,0,1523100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ligocyte-pharmaceuticals,|Biotechnology|, Biotechnology ," 4,35,62,640 ",acquired,USA,MT,Bozeman,Bozeman,4,1/1/1998,1998-01,1998-Q1,1998,8/14/2009,6/28/2012,0,31490335,0,0,0,12072305,0,0,0,0,0,0,0,0,0,29490335,0,0,0,0,0
liiiike,|Fashion|, Fashion ," 5,00,000 ",operating,USA,NY,New York City,New York,1,6/18/2012,2012-06,2012-Q2,2012,10/4/2012,10/4/2012,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lijit-networks,|Advertising|, Advertising ," 2,83,00,000 ",acquired,USA,CO,Denver,Boulder,6,6/1/2006,2006-06,2006-Q2,2006,1/1/2007,4/20/2011,0,27300000,0,0,0,1000000,0,0,0,0,0,0,0,900000,3300000,7100000,6000000,10000000,0,0,0
like,|Photography|Search|, Search ," 4,73,00,000 ",acquired,USA,CA,SF Bay Area,San Mateo,3,6/18/1986,1986-06,1986-Q2,1986,5/31/2005,8/1/2008,0,47300000,0,0,0,0,0,0,0,0,0,0,0,3300000,12000000,32000000,0,0,0,0,0
likeability,|Photo Sharing|Networking|Social Media|, Social Media ," 4,75,000 ",operating,USA,MD,Baltimore,Hunt Valley,1,3/6/2012,2012-03,2012-Q1,2012,2/19/2012,2/19/2012,0,0,0,0,0,0,475000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
likeable-local,|Software|, Software ," 15,70,000 ",operating,USA,NY,New York City,New York,2,1/1/2012,2012-01,2012-Q1,2012,9/10/2013,9/10/2013,910000,0,0,0,0,660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
likelii,|E-Commerce|Reviews and Recommendations|Distribution|Supply Chain Management|Wine And Spirits|Hospitality|, E-Commerce ," 4,50,000 ",operating,USA,MA,Boston,Cambridge,1,3/25/2011,2011-03,2011-Q1,2011,5/23/2012,5/23/2012,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
likelist,|Coupons|Local Coupons|Private Social Networking|Local|Advertising Networks|Reviews and Recommendations|Search|Local Search|Curated Web|, Coupons ," 50,00,000 ",closed,USA,CA,SF Bay Area,Sunnyvale,1,1/1/2008,2008-01,2008-Q1,2008,12/15/2009,12/15/2009,0,5000000,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0
likeme-net,|Search|Social Media|, Social Media ," 33,49,996 ",operating,USA,CO,Denver,Denver,1,10/1/2008,2008-10,2008-Q4,2008,6/24/2010,6/24/2010,0,3349996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
likewise-software,|Security|Identity Management|Open Source|Software|, Security ," 1,00,00,000 ",acquired,USA,WA,Seattle,Bellevue,1,11/1/2004,2004-11,2004-Q4,2004,4/30/2009,4/30/2009,0,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,0,0,0
lilianna-spinal-solutions,|Medical|, Medical ,"50,000",operating,USA,TX,Dallas,Dallas,1,12/18/2013,2013-12,2013-Q4,2013,6/13/2014,6/13/2014,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lilliputian-systems,|Energy|Mobile|Hardware + Software|, Energy ," 8,33,50,000 ",operating,USA,MA,Boston,Wilmington,5,1/1/2002,2002-01,2002-Q1,2002,4/3/2009,9/14/2012,0,82250000,0,0,0,1100000,0,0,0,0,0,0,0,3250000,11000000,0,0,0,0,0,0
lilluxe,|Social Commerce|Kids|Flash Sales|Fashion|, Flash Sales ," 12,00,000 ",closed,USA,CA,SF Bay Area,Sausalito,1,3/9/2010,2010-03,2010-Q1,2010,9/1/2010,9/1/2010,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lily-strum,|Design|, Design ," 1,10,000 ",operating,USA,PA,Pittsburgh,Pittsburgh,1,1/1/2013,2013-01,2013-Q1,2013,10/29/2013,10/29/2013,0,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meetlima,|Hardware|Hardware + Software|, Hardware ," 37,29,074 ",operating,USA,DE,"Wilmington, Delaware",Newark,2,12/26/2011,2011-12,2011-Q4,2011,7/10/2013,6/4/2014,0,2500000,0,0,0,0,0,0,0,0,0,0,1229074,2500000,0,0,0,0,0,0,0
limbo,|Games|Mobile|, Games ," 2,71,00,000 ",operating,USA,CA,SF Bay Area,Burlingame,4,10/1/2005,2005-10,2005-Q4,2005,12/1/2005,1/1/2009,0,27100000,0,0,0,0,0,0,0,0,0,0,0,1100000,17000000,9000000,0,0,0,0,0
limeade,|Health and Wellness|, Health and Wellness ," 3,39,93,894 ",operating,USA,WA,Seattle,Bellevue,4,2/5/2006,2006-02,2006-Q1,2006,1/1/2007,10/27/2014,0,32993894,0,0,0,0,1000000,0,0,0,0,0,0,2993894,5000000,25000000,0,0,0,0,0
limelife,|Advertising|Mobile Advertising|Mobile|News|, Advertising ," 2,09,00,000 ",acquired,USA,CA,SF Bay Area,Menlo Park,5,6/1/2004,2004-06,2004-Q2,2004,8/1/2005,11/18/2009,0,20900000,0,0,0,0,0,0,0,0,0,0,0,5000000,13900000,0,0,0,0,0,0
limerick-biopharma,|Biotechnology|, Biotechnology ," 4,21,19,415 ",operating,USA,CA,SF Bay Area,South San Francisco,5,1/1/2004,2004-01,2004-Q1,2004,6/11/2008,1/30/2012,0,31700000,0,0,0,10419415,0,0,0,0,0,0,0,1500000,0,15000000,0,0,0,0,0
limk,|Content|Startups|Distribution|Advertising|, Content ," 3,10,121 ",operating,USA,CA,SF Bay Area,San Francisco,4,1/1/2011,2011-01,2011-Q1,2011,4/26/2011,4/28/2014,310121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
limos-com,|Concerts|Events|Weddings|Online Travel|Limousines|Automotive|, Weddings ," 1,50,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,8/1/2007,2007-08,2007-Q3,2007,11/1/2008,3/29/2011,0,15000000,0,0,0,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0
lincoln-peak-partners,|Software|, Software ,"83,635",operating,USA,MA,Boston,Newton,1,1/1/2011,2011-01,2011-Q1,2011,7/13/2012,7/13/2012,0,83635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
secondlife,|Games|, Games ," 1,90,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,1/1/1999,1999-01,1999-Q1,1999,10/28/2004,3/1/2006,0,19000000,0,0,0,0,0,0,0,0,0,0,0,8000000,11000000,0,0,0,0,0,0
linea,|Photography|, Photography ," 40,00,000 ",closed,USA,WA,Seattle,Seattle,1,4/1/2011,2011-04,2011-Q2,2011,5/31/2013,5/31/2013,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lineagen,|Biotechnology|, Biotechnology ," 4,29,94,064 ",operating,USA,UT,Salt Lake City,Salt Lake City,5,1/1/2002,2002-01,2002-Q1,2002,6/22/2010,12/18/2013,0,30300000,0,0,0,12694064,0,0,0,0,0,0,0,10800000,16000000,3500000,0,0,0,0,0
linear-labs,|Electronics|Transportation|, Electronics ," 1,50,000 ",operating,USA,TX,Dallas,Fort Worth,1,1/1/2013,2013-01,2013-Q1,2013,2/20/2014,2/20/2014,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
linebacker,|Hardware + Software|, Hardware + Software ," 3,15,317 ",operating,USA,OH,"Columbus, Ohio",Columbus,1,1/1/2007,2007-01,2007-Q1,2007,9/6/2011,9/6/2011,315317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
linestream-technologies,|Clean Technology|Automotive|Semiconductors|Energy Efficiency|Software|, Clean Technology ," 10,00,000 ",operating,USA,OH,Cleveland,Cleveland,2,6/1/2008,2008-06,2008-Q2,2008,6/1/2008,3/12/2012,0,1000000,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0
lingotek,|Collaboration|Crowdsourcing|Local|Translation|Enterprise Software|, Collaboration ," 64,44,807 ",operating,USA,VA,"Washington, D.C.",Reston,5,2/1/2006,2006-02,2006-Q1,2006,3/1/2006,2/1/2012,0,6444807,0,0,0,0,0,0,0,0,0,0,0,2600000,0,0,0,0,0,0,0
linguastat,|Software|, Software ," 4,27,985 ",operating,USA,CA,SF Bay Area,San Francisco,1,12/1/2005,2005-12,2005-Q4,2005,10/22/2008,10/22/2008,0,427985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
linguasys,|Enterprise Software|, Enterprise Software ," 49,20,000 ",operating,USA,FL,Palm Beaches,Boca Raton,3,3/1/2010,2010-03,2010-Q1,2010,1/5/2011,5/8/2013,1000000,3920000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
link-medicine,|Health Care|, Health Care ," 6,48,00,003 ",closed,USA,MA,Boston,Cambridge,3,1/1/2005,2005-01,2005-Q1,2005,9/29/2008,4/20/2011,0,60000003,0,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
link-trigger,|Search|Navigation|Social Bookmarking|Internet|Software|, Search ," 7,60,237 ",operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,2,6/10/2008,2008-06,2008-Q2,2008,6/10/2008,8/20/2008,500000,260237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
linkable-networks,|Loyalty Programs|Advertising|, Loyalty Programs ," 2,87,29,937 ",operating,USA,MA,Boston,Boston,7,1/1/2011,2011-01,2011-Q1,2011,10/19/2010,10/31/2014,1500000,27229937,0,0,0,0,0,0,0,0,0,0,0,8300000,0,0,0,0,0,0,0
linkagoal,|Communities|Networking|Curated Web|, Communities ," 12,50,000 ",operating,USA,NC,Asheville,Murphy,1,1/1/2011,2011-01,2011-Q1,2011,4/28/2014,4/28/2014,0,1250000,0,0,0,0,0,0,0,0,0,0,0,1250000,0,0,0,0,0,0,0
linkconnector-corporation,|Advertising|, Advertising ," 2,75,000 ",operating,USA,NC,Raleigh,Cary,1,1/1/2004,2004-01,2004-Q1,2004,8/13/2009,8/13/2009,0,275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
linkedin,|Social Recruiting|Software|Networking|Social Media|, Software ," 20,61,21,421 ",operating,USA,CA,SF Bay Area,Mountain View,7,5/5/2003,2003-05,2003-Q2,2003,11/1/2003,5/1/2013,0,124407933,0,0,0,0,0,0,0,81713488,0,0,0,4700000,10000000,12800000,53000000,22700000,0,0,0
linkpad,|Health Care|Security|Medication Adherence|Home Automation|Energy Management|Health and Wellness|Smart Grid|Energy Efficiency|Hardware + Software|, Health and Wellness ," 1,00,000 ",operating,USA,MD,Baltimore,Baltimore,1,8/1/2013,2013-08,2013-Q3,2013,1/5/2014,1/5/2014,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
linksmart,|Publishing|Internet Marketing|Advertising|, Publishing ," 97,00,000 ",acquired,USA,CO,Denver,Boulder,3,10/14/2009,2009-10,2009-Q4,2009,11/6/2009,5/3/2013,0,9700000,0,0,0,0,0,0,0,0,0,0,0,500000,9200000,0,0,0,0,0,0
linkstorm,|Advertising|, Advertising ," 85,00,000 ",operating,USA,NY,New York City,New York,3,8/1/2000,2000-08,2000-Q3,2000,10/1/2007,12/29/2009,0,2800000,0,0,0,0,5700000,0,0,0,0,0,0,0,0,0,2800000,0,0,0,0
linksy,|Finance|Social Media|Software|, Software ," 1,00,000 ",operating,USA,WA,Seattle,Seattle,1,1/1/2012,2012-01,2012-Q1,2012,8/1/2012,8/1/2012,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
linkwell-health,|Health and Wellness|, Health and Wellness ," 1,93,00,000 ",operating,USA,MA,Boston,Needham,2,1/1/2008,2008-01,2008-Q1,2008,1/6/2012,1/30/2013,0,19300000,0,0,0,0,0,0,0,0,0,0,0,0,0,11000000,0,0,0,0,0
linq3,|Enterprise Software|, Enterprise Software ," 1,20,00,000 ",operating,USA,NY,New York City,New York,1,1/1/2007,2007-01,2007-Q1,2007,6/5/2013,6/5/2013,0,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
linux-networx,|Software|, Software ," 4,70,00,000 ",acquired,USA,UT,Salt Lake City,Salt Lake City,2,1/1/1989,1989-01,1989-Q1,1989,3/21/2006,9/11/2006,0,47000000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,37000000,0,0,0,0
lionside,|Games|, Games ," 16,00,000 ",acquired,USA,CA,SF Bay Area,San Francisco,1,1/1/2009,2009-01,2009-Q1,2009,11/19/2010,11/19/2010,0,1600000,0,0,0,0,0,0,0,0,0,0,0,1600000,0,0,0,0,0,0,0
qr-code-pros,|Mobile Video|Advertising|App Marketing|QR Codes|Software|, Advertising ," 1,50,000 ",operating,USA,VA,"Washington, D.C.",Vienna,2,12/25/2010,2010-12,2010-Q4,2010,3/1/2011,6/15/2011,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liquid-engines,|Software|, Software ," 55,00,000 ",acquired,USA,CA,SF Bay Area,Santa Clara,1,1/1/2001,2001-01,2001-Q1,2001,9/7/2006,9/7/2006,0,5500000,0,0,0,0,0,0,0,0,0,0,0,0,0,5500000,0,0,0,0,0
liquidgrids,|PaaS|Social Media|Advertising|, PaaS ," 48,17,324 ",operating,USA,CA,San Diego,San Diego,2,12/10/2010,2010-12,2010-Q4,2010,8/31/2011,2/26/2014,0,3217324,0,0,0,0,1600000,0,0,0,0,0,0,3217324,0,0,0,0,0,0,0
liquid-robotics,|Clean Technology|, Clean Technology ," 8,15,75,000 ",operating,USA,CA,SF Bay Area,Sunnyvale,6,1/1/2007,2007-01,2007-Q1,2007,1/1/2005,3/19/2013,75000,81500000,0,0,0,0,0,0,0,0,0,0,0,2000000,2500000,10000000,22000000,45000000,0,0,0
liquid-scenarios,|Finance|Venture Capital|Software|, Venture Capital ," 1,12,000 ",operating,USA,CO,Denver,Boulder,1,12/9/2009,2009-12,2009-Q4,2009,12/16/2009,12/16/2009,112000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liquid-spins,|Software|, Software ," 5,17,500 ",operating,USA,CO,Colorado Springs,Colorado Springs,3,1/1/2009,2009-01,2009-Q1,2009,9/30/2010,7/11/2012,0,517500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
